-- Testbed line: result_type=set <marray <ulong, [0:9,0:9]>>
-- Testbed line: result_elements=1
-- Testbed start block:
Image 1
GMarray
  Type Structure........: marray <ulong, [0:9,0:9]>
  Type Schema...........: marray< ulong >
  Domain................: [0:9,0:9]
  Base Type Schema......: ulong
  Base Type Length......: 4
  Data format.......... : Array
  Data size (bytes).... : 400
    0       1       2       3       4       5       6       7       8       9   
   10      11      12      13      14      15      16      17      18      19   
   20      21      22      23      24      25      26      27      28      29   
   30      31      32      33      34      35      36      37      38      39   
   40      41      42      43      44      45      46      47      48      49   
   50      51      52      53      54      55      56      57      58      59   
   60      61      62      63      64      65      66      67      68      69   
   70      71      72      73      74      75      76      77      78      79   
   80      81      82      83      84      85      86      87      88      89   
   90      91      92      93      94      95      96      97      98      99   
-- Testbed end block:
